technique,radius,distance,spacing,username,click_duration,is_correct,heisenberg_error,heisenberg_angle
BareHandIntenSelect,0.07,0.75,0.3,FP1,2.01897049,1,0,0.05848334304634543
BareHandIntenSelect,0.07,0.75,0.3,FP1,3.38995767,1,0,0.09359052824836231
BareHandIntenSelect,0.07,0.75,0.3,FP1,1.2783587,0,1,2.948703348803593
BareHandIntenSelect,0.07,0.75,0.3,FP1,0.5547111,1,0,0.08316566666542864
BareHandIntenSelect,0.07,0.75,0.3,FP1,0.831723154,0,1,0.5901922508384466
BareHandIntenSelect,0.07,0.75,0.3,FP1,0.8742886,1,0,0.6184235351826102
BareHandIntenSelect,0.07,0.75,0.3,FP1,2.62502813,1,0,0.15567787474682498
BareHandIntenSelect,0.07,0.75,0.3,FP1,1.38822126,1,0,2.094617939375515
BareHandIntenSelect,0.07,0.75,0.3,FP1,0.540897548,0,1,0.053586595690897465
BareHandIntenSelect,0.07,0.75,0.3,FP1,1.54167414,0,1,1.9655955279549993
BareHandIntenSelect,0.07,0.75,0.3,FP1,0.777426839,0,0,0.2559907689416562
BareHandIntenSelect,0.07,0.75,0.3,FP1,0.48642692,0,0,0.1998637278140644
BareHandIntenSelect,0.07,0.75,0.3,FP1,1.013494,1,0,1.0693503584742958
BareHandIntenSelect,0.07,0.75,0.3,FP1,1.5273993,0,1,2.6547769030425608
BareHandIntenSelect,0.07,0.75,0.3,FP1,2.042171,0,1,1.2365147419772982
BareHandIntenSelect,0.07,0.75,0.3,FP1,0.749432862,1,0,0.81867480418017
BareHandIntenSelect,0.07,0.75,0.3,FP1,1.47999835,1,0,0.9489945897489273
BareHandIntenSelect,0.07,0.75,0.3,FP1,1.19321716,1,0,1.1008936724145149
BareHandIntenSelect,0.07,0.75,0.3,FP1,1.8761667,0,1,0.9051196243622106
BareHandIntenSelect,0.07,0.75,0.3,FP1,1.1804831,1,0,0.4085444332276358
BareHandIntenSelect,0.07,0.75,0.3,FP1,2.80650234,0,0,0.6364564843934408
BareHandIntenSelect,0.07,0.75,0.3,FP1,0.97264874,0,0,0.04124070435390744
BareHandIntenSelect,0.07,0.75,0.3,FP1,0.5571174,1,0,0.43377079131464796
BareHandIntenSelect,0.07,0.75,0.3,FP1,2.15327716,1,0,0.2909875345332001
BareHandIntenSelect,0.07,0.75,0.3,FP1,1.70923018,1,0,0.31442376740355277
BareHandIntenSelect,0.07,0.75,0.3,FP1,2.02689958,1,0,0.3793429651257002
BareHandIntenSelect,0.07,0.75,0.3,FP1,1.069358,0,0,0.3622081711663637
BareHandIntenSelect,0.07,0.75,0.3,FP1,0.65253824,1,0,0.7166897751899677
BareHandIntenSelect,0.07,0.75,0.3,FP1,0.8614689,0,1,0.8970542046761477
BareHandIntenSelect,0.07,0.75,0.3,FP1,0.486652225,0,1,0.915164897678425
BareHandIntenSelect,0.07,0.75,0.3,FP1,0.416587323,0,1,0.4467799895136456
BareHandIntenSelect,0.07,0.75,0.3,FP1,1.34775209,1,0,0.202255268358832
BareHandIntenSelect,0.07,0.75,0.3,FP1,0.638711333,0,0,1.735036260297403
BareHandIntenSelect,0.07,0.75,0.3,FP1,0.569653749,0,1,1.619856016231791
BareHandIntenSelect,0.07,0.75,0.3,FP1,0.541805267,1,0,0.0661513682376355
BareHandIntenSelect,0.07,0.75,0.3,FP1,2.95800328,0,0,0.09957122846501805
BareHandIntenSelect,0.07,0.75,0.3,FP1,0.513441145,0,0,0.1976432048569865
BareHandIntenSelect,0.07,0.75,0.3,FP1,0.498877019,1,0,0.16880480103533713
BareHandIntenSelect,0.07,0.75,0.3,FP1,3.74985957,1,0,1.0668460656518335
BareHandIntenSelect,0.07,0.75,0.3,FP1,1.63788116,0,1,1.7257309714554792
BareHandIntenSelect,0.07,0.75,0.3,FP1,3.62448573,0,0,0.9424576545971788
BareHandIntenSelect,0.07,0.75,0.3,FP1,1.527892,1,0,0.5944682640853072
BareHandIntenSelect,0.07,0.75,0.3,FP10,1.393874,1,0,0.33721486297737735
BareHandIntenSelect,0.07,0.75,0.3,FP10,1.25131142,1,0,0.12090211020774462
BareHandIntenSelect,0.07,0.75,0.3,FP10,1.05437446,1,0,1.1323103153523555
BareHandIntenSelect,0.07,0.75,0.3,FP10,1.749937,0,0,0.9084657950052969
BareHandIntenSelect,0.07,0.75,0.3,FP10,0.79087466,1,0,0.02977951029899816
BareHandIntenSelect,0.07,0.75,0.3,FP10,0.7769852,0,1,0.855246394336734
BareHandIntenSelect,0.07,0.75,0.3,FP10,0.7789259,1,0,0.45812365418520334
