technique,radius,distance,spacing,username,click_duration,is_correct,heisenberg_error,heisenberg_angle
BareHandIntenSelect,0.21,0.75,0.3,FP1,4.108238,0,1,0.1495181202117453
BareHandIntenSelect,0.21,0.75,0.3,FP1,3.22307777,0,1,6.026900985392788
BareHandIntenSelect,0.21,0.75,0.3,FP1,2.903838,0,0,0.4026582137463493
BareHandIntenSelect,0.21,0.75,0.3,FP1,4.61106968,0,0,3.125665446106807
BareHandIntenSelect,0.21,0.75,0.3,FP1,1.06938612,0,1,4.268874246508852
BareHandIntenSelect,0.21,0.75,0.3,FP1,2.01313663,0,1,3.550501078618671
BareHandIntenSelect,0.21,0.75,0.3,FP1,1.31996691,0,1,3.2132307896237293
BareHandIntenSelect,0.21,0.75,0.3,FP1,0.887400448,0,1,2.102262611968062
BareHandIntenSelect,0.21,0.75,0.3,FP1,0.930355251,0,1,2.678217181125756
BareHandIntenSelect,0.21,0.75,0.3,FP1,0.6385869,1,0,1.6822575965534037
BareHandIntenSelect,0.21,0.75,0.3,FP1,2.097511,1,0,0.1265206545919008
BareHandIntenSelect,0.21,0.75,0.3,FP1,1.12513661,1,0,0.2544874172658412
BareHandIntenSelect,0.21,0.75,0.3,FP1,1.52813327,1,0,0.5053208861948367
BareHandIntenSelect,0.21,0.75,0.3,FP1,1.4037832,1,0,0.0468627041112193
BareHandIntenSelect,0.21,0.75,0.3,FP1,0.889803648,1,0,0.3800793173638476
BareHandIntenSelect,0.21,0.75,0.3,FP1,1.80491483,1,0,0.6840030677147987
BareHandIntenSelect,0.21,0.75,0.3,FP1,1.11219692,1,0,0.2473971432041006
BareHandIntenSelect,0.21,0.75,0.3,FP1,1.07805812,1,0,0.0285686375512867
BareHandIntenSelect,0.21,0.75,0.3,FP1,0.9730528,1,0,0.1600410445582103
BareHandIntenSelect,0.21,0.75,0.3,FP1,0.9448139,0,1,0.5347150267488932
BareHandIntenSelect,0.21,0.75,0.3,FP1,0.5139408,0,1,0.2684680656055173
BareHandIntenSelect,0.21,0.75,0.3,FP1,1.36086893,1,0,0.1782804975537723
BareHandIntenSelect,0.21,0.75,0.3,FP1,1.070187,0,1,0.9219841530389762
BareHandIntenSelect,0.21,0.75,0.3,FP1,1.01435316,1,0,0.0829886929950142
BareHandIntenSelect,0.21,0.75,0.3,FP1,0.9436042,0,1,2.074755424423203
BareHandIntenSelect,0.21,0.75,0.3,FP1,0.666545033,1,0,0.9496967172305536
BareHandIntenSelect,0.21,0.75,0.3,FP1,1.48582971,1,0,0.149307148507497
BareHandIntenSelect,0.21,0.75,0.3,FP1,1.01366949,1,0,0.1516332716936596
BareHandIntenSelect,0.21,0.75,0.3,FP1,2.01548266,1,0,0.9941348434402508
BareHandIntenSelect,0.21,0.75,0.3,FP1,0.415440083,0,0,21.340730508962263
BareHandIntenSelect,0.21,0.75,0.3,FP1,3.84929681,1,0,1.1887590105526913
BareHandIntenSelect,0.21,0.75,0.3,FP1,2.48696518,1,0,1.1415586723089008
BareHandIntenSelect,0.21,0.75,0.3,FP1,2.82234526,1,0,0.0736586550514169
BareHandIntenSelect,0.21,0.75,0.3,FP1,3.54187465,0,1,2.0216371039439904
BareHandIntenSelect,0.21,0.75,0.3,FP1,1.36195648,1,0,0.0913645550238689
BareHandIntenSelect,0.21,0.75,0.3,FP1,0.9581274,0,0,0.39766987504364
BareHandIntenSelect,0.21,0.75,0.3,FP1,0.5694051,0,1,0.2081762119724889
BareHandIntenSelect,0.21,0.75,0.3,FP1,0.9437391,0,1,1.1218916188283456
BareHandIntenSelect,0.21,0.75,0.3,FP1,1.95826817,1,0,0.3282046648585736
BareHandIntenSelect,0.21,0.75,0.3,FP1,1.45797193,0,1,1.2029331394353813
BareHandIntenSelect,0.21,0.75,0.3,FP1,0.931544662,1,0,0.6107677799603761
BareHandIntenSelect,0.21,0.75,0.3,FP1,1.48593891,1,0,0.456929396330846
BareHandIntenSelect,0.21,0.75,0.3,FP1,2.12530184,1,0,0.4109082689005305
BareHandIntenSelect,0.21,0.75,0.3,FP10,1.6665529,1,0,0.1016146531255532
BareHandIntenSelect,0.21,0.75,0.3,FP10,0.679932535,1,0,0.5860663523858867
BareHandIntenSelect,0.21,0.75,0.3,FP10,1.12492573,0,1,1.1298373396143646
BareHandIntenSelect,0.21,0.75,0.3,FP10,1.04074407,0,1,1.0163575514578906
BareHandIntenSelect,0.21,0.75,0.3,FP10,0.930656254,1,0,0.0281751090539422
BareHandIntenSelect,0.21,0.75,0.3,FP10,0.6252999,1,0,1.4437644866790875
