technique,radius,distance,spacing,username,click_duration,is_correct,heisenberg_error,heisenberg_angle
ControllerIntenSelect,0.07,0.75,0.3,FP1,1.100627320125,1.0,0.0,0.0979838316970917
ControllerIntenSelect,0.07,0.75,0.3,FP1,1.0561418785555556,0.8888888888888888,0.1111111111111111,0.1827777660297398
ControllerIntenSelect,0.07,0.75,0.3,FP1,0.9099149602499998,1.0,0.0,0.1936843136322647
ControllerIntenSelect,0.07,0.75,0.3,FP10,0.7173778697777777,0.6666666666666666,0.3333333333333333,0.7090414876654374
ControllerIntenSelect,0.07,0.75,0.3,FP10,0.8542996575,1.0,0.0,0.562138513543302
ControllerIntenSelect,0.07,0.75,0.3,FP10,0.600743408857143,0.8571428571428571,0.0,0.408190835030723
ControllerIntenSelect,0.07,0.75,0.3,FP11,0.6807828625000001,1.0,0.0,0.1801111748108455
ControllerIntenSelect,0.07,0.75,0.3,FP11,0.6571265768333333,1.0,0.0,0.1831050782873182
ControllerIntenSelect,0.07,0.75,0.3,FP11,0.5989131876666667,1.0,0.0,0.2753381401345281
ControllerIntenSelect,0.07,0.75,0.3,FP12,0.8278128886666667,0.6666666666666666,0.2222222222222222,0.2243209223334753
ControllerIntenSelect,0.07,0.75,0.3,FP12,0.6854133666666667,1.0,0.0,0.5226329366900384
ControllerIntenSelect,0.07,0.75,0.3,FP12,0.6250395222857144,0.8571428571428571,0.0,0.2625510526178387
ControllerIntenSelect,0.07,0.75,0.3,FP13,0.9230950732222222,0.6666666666666666,0.3333333333333333,0.2810053895635104
ControllerIntenSelect,0.07,0.75,0.3,FP13,0.7439109271428572,0.8571428571428571,0.0,0.2956818940306129
ControllerIntenSelect,0.07,0.75,0.3,FP13,0.7489881053,0.6,0.4,0.845111733003271
ControllerIntenSelect,0.07,0.75,0.3,FP14,0.6767526905,0.75,0.125,0.4544070191187908
ControllerIntenSelect,0.07,0.75,0.3,FP14,0.5204760554444445,0.6666666666666666,0.3333333333333333,0.6322756012604497
ControllerIntenSelect,0.07,0.75,0.3,FP14,0.586282291125,0.75,0.25,0.4027788497480877
ControllerIntenSelect,0.07,0.75,0.3,FP15,0.5115438083333333,1.0,0.0,0.6841922665309355
ControllerIntenSelect,0.07,0.75,0.3,FP15,0.775569641,1.0,0.0,0.4440009665863928
ControllerIntenSelect,0.07,0.75,0.3,FP15,0.7673825462857143,0.8571428571428571,0.0,0.4040372357400442
ControllerIntenSelect,0.07,0.75,0.3,FP16,0.9642157335,1.0,0.0,0.1532081236100241
ControllerIntenSelect,0.07,0.75,0.3,FP16,0.7865989151666666,1.0,0.0,0.1395552920646543
ControllerIntenSelect,0.07,0.75,0.3,FP16,0.8869875723333333,1.0,0.0,0.1691188987906941
ControllerIntenSelect,0.07,0.75,0.3,FP17,1.2656507013333334,1.0,0.0,0.3775059895892274
ControllerIntenSelect,0.07,0.75,0.3,FP17,1.0763726116666663,1.0,0.0,0.2621301006243085
ControllerIntenSelect,0.07,0.75,0.3,FP17,0.8987710231428572,0.8571428571428571,0.1428571428571428,0.1729933557501348
ControllerIntenSelect,0.07,0.75,0.3,FP18,0.6063869768571429,0.8571428571428571,0.1428571428571428,0.4355018194872778
ControllerIntenSelect,0.07,0.75,0.3,FP18,0.6735662556249999,0.75,0.0,0.7675727231925923
ControllerIntenSelect,0.07,0.75,0.3,FP18,0.8971584441428571,0.8571428571428571,0.1428571428571428,0.3782811511776169
ControllerIntenSelect,0.07,0.75,0.3,FP19,0.8945873481666666,0.5,0.3333333333333333,0.4484722655309484
ControllerIntenSelect,0.07,0.75,0.3,FP19,1.1252646486666666,1.0,0.0,0.4775413710974742
